DATE,LFWA64TTUSM647S
01-01-1977,135146231.3
01-02-1977,135351247.2
01-03-1977,135573784.7
01-04-1977,135838868.2
01-05-1977,136140380.6
01-06-1977,136339519.6
01-07-1977,136555031.6
01-08-1977,136723595.6
01-09-1977,136838858.8
01-10-1977,137169879.7
01-11-1977,137347712.6
01-12-1977,137497465.2
01-01-1978,137670789.9
01-02-1978,137858493.3
01-03-1978,138031902.7
01-04-1978,138106872.3
01-05-1978,138360173.5
01-06-1978,138702168
01-07-1978,138824642.1
01-08-1978,138953546
01-09-1978,139102688.4
01-10-1978,139332440.7
01-11-1978,139569085.9
01-12-1978,139786636.5
01-01-1979,140084499.7
01-02-1979,140276479.4
01-03-1979,140435931.3
01-04-1979,140465359.1
01-05-1979,140679681.6
01-06-1979,141079910.4
01-07-1979,141180934.4
01-08-1979,141310418
01-09-1979,141485154.8
01-10-1979,141725368
01-11-1979,141942761.1
01-12-1979,142155656.6
01-01-1980,142425551.6
01-02-1980,142601326.4
01-03-1980,142750419
01-04-1980,142870490.6
01-05-1980,143194749.8
01-06-1980,143423154.5
01-07-1980,143584441.9
01-08-1980,143811347.1
01-09-1980,143905146
01-10-1980,144013589.1
01-11-1980,144156617.3
01-12-1980,144233048.9
01-01-1981,144349309.1
01-02-1981,144476455.4
01-03-1981,144664940.8
01-04-1981,144844529.5
01-05-1981,145090661.9
01-06-1981,145392875.4
01-07-1981,145482475.9
01-08-1981,145579198.5
01-09-1981,145640060.7
01-10-1981,145814627.1
01-11-1981,145970293.3
01-12-1981,146087127.9
01-01-1982,145929742.9
01-02-1982,146021913.2
01-03-1982,146212366.2
01-04-1982,146535725.4
01-05-1982,146812327.5
01-06-1982,146955660.6
01-07-1982,147079515
01-08-1982,147239837.5
01-09-1982,147387944.1
01-10-1982,147580311.1
01-11-1982,147629187
01-12-1982,147748953.6
01-01-1983,147227452.1
01-02-1983,147332305.5
01-03-1983,147637741.5
01-04-1983,147975237.3
01-05-1983,148251158.4
01-06-1983,148287594
01-07-1983,148471009.8
01-08-1983,148601842.3
01-09-1983,148726480.7
01-10-1983,148853033.2
01-11-1983,148923927.4
01-12-1983,149073376.2
01-01-1984,149124156.3
01-02-1984,149271542.9
01-03-1984,149424836.2
01-04-1984,149650870.9
01-05-1984,149741683.4
01-06-1984,149941574
01-07-1984,149999581.5
01-08-1984,150084853.6
01-09-1984,150264349.8
01-10-1984,150353023.2
01-11-1984,150518087.4
01-12-1984,150717473.7
01-01-1985,150512873
01-02-1985,150628837.6
01-03-1985,150783741.9
01-04-1985,150942646.4
01-05-1985,151019135.3
01-06-1985,151215535.8
01-07-1985,151229052.2
01-08-1985,151337645.9
01-09-1985,151470377.9
01-10-1985,151608792.5
01-11-1985,151784559.8
01-12-1985,151944919.2
01-01-1986,152391846.8
01-02-1986,152475589.1
01-03-1986,152676514
01-04-1986,152718710.7
01-05-1986,152905344.5
01-06-1986,152989149.5
01-07-1986,153085593.2
01-08-1986,153260635.8
01-09-1986,153424985.6
01-10-1986,153545788.9
01-11-1986,153735501.2
01-12-1986,153833680.3
01-01-1987,153904445.2
01-02-1987,154102804.2
01-03-1987,154174340.5
01-04-1987,154371001.2
01-05-1987,154519057.9
01-06-1987,154600870.9
01-07-1987,154689406.2
01-08-1987,154797709.3
01-09-1987,154927966.5
01-10-1987,155014949.3
01-11-1987,155189199.3
01-12-1987,155280562.6
01-01-1988,155411829.6
01-02-1988,155551690
01-03-1988,155612520.9
01-04-1988,155671608.4
01-05-1988,155815788
01-06-1988,155987200.7
01-07-1988,156086955.2
01-08-1988,156152257.2
01-09-1988,156273729.3
01-10-1988,156357772
01-11-1988,156453634.8
01-12-1988,156549923.5
01-01-1989,156745836.3
01-02-1989,156880136.9
01-03-1989,156973571.3
01-04-1989,156911444.8
01-05-1989,156986764.2
01-06-1989,157081620.8
01-07-1989,157146820
01-08-1989,157271939.9
01-09-1989,157505063
01-10-1989,157552270.5
01-11-1989,157678370.9
01-12-1989,157818988.4
01-01-1990,159330415.2
01-02-1990,159505157.3
01-03-1990,159567102.1
