DATE,CSUSHPISA,Year,Month,pcgdp,Unemployment_Rate,Interest_Rate,Construction_price,working_population,MSACSR,loan_rate,Owned_Units,DSPIC
01-10-2003,137.531,2003,10,51986,6,1.01,149.6,187738373.1,3.8,31.1,1728,10982.3
01-11-2003,138.794,2003,11,52050.33333,5.8,1,150.2,187972124.7,4.1,29.5,1692,11048.4
01-12-2003,140.179,2003,12,52114.66667,5.7,0.98,149.7,188135255.1,4,36.1,1716,11057.2
01-01-2004,141.646,2004,1,52179,5.7,1,150,187687969.2,3.8,50.3,1709,11051.2
01-02-2004,143.192,2004,2,52275.66667,5.6,1.01,153.4,187875451.4,3.7,37.2,1718,11071
01-03-2004,145.059,2004,3,52372.33333,5.8,1,156.5,188057722,3.6,38.8,1794,11115.6
01-04-2004,146.593,2004,4,52469,5.6,1,160.1,188320169.7,4,37.3,1938,11153.3
01-05-2004,148.186,2004,5,52591,5.6,1,162.7,188475810.3,3.8,38.4,1893,11208.9
01-06-2004,149.85,2004,6,52713,5.6,1.03,162,188689461.4,3.9,32.5,1857,11215.8
01-07-2004,151.338,2004,7,52835,5.5,1.26,162.2,188840548.7,4.5,32.3,1881,11240.5
01-08-2004,152.633,2004,8,52970.66667,5.4,1.43,165.9,189071375,4.3,40.1,1911,11274.6
01-09-2004,154.179,2004,9,53106.33333,5.4,1.61,167.2,189217846.5,4.1,39.4,1796,11279.6
01-10-2004,155.75,2004,10,53242,5.5,1.76,165.9,189444673,3.9,50.8,1839,11282.5
01-11-2004,157.527,2004,11,53401,5.4,1.93,165.5,189654575.5,4.3,27.2,1758,11246.1
01-12-2004,159.33,2004,12,53560,5.4,2.16,166.3,189810239.2,4.1,18.2,1921,11659
01-01-2005,161.288,2005,1,53719,5.3,2.28,168.6,189989658.1,4.4,23.3,1892,11226.5
01-02-2005,163.344,2005,2,53768.66667,5.4,2.5,170.4,190144268.6,4.3,14.2,1908,11229
01-03-2005,165.812,2005,3,53818.33333,5.2,2.63,170,190460460.1,4.1,17.6,1787,11268.8
01-04-2005,167.501,2005,4,53868,5.2,2.79,170,190466068.2,4.3,19.8,1927,11304.2
01-05-2005,169.351,2005,5,53963,5.1,3,168.1,190710241.8,4.2,17.8,2103,11352.7
01-06-2005,171.19,2005,6,54058,5,3.04,167.8,190962535,4.3,14.6,1965,11375.5
01-07-2005,172.86,2005,7,54153,5,3.26,167.2,191115008.9,4.2,16.8,1886,11387.1
01-08-2005,174.442,2005,8,54207.66667,4.9,3.5,165.9,191266347.3,4.5,11,1952,11405.3
01-09-2005,176.438,2005,9,54262.33333,5,3.62,168.9,191439119.3,4.7,4.2,1922,11365.2
01-10-2005,178.028,2005,10,54317,5,3.78,171.6,191655296.7,4.5,-0.2,1962,11428.7
01-11-2005,179.68,2005,11,54520.33333,5,4,172.7,191932179,5,0,1907,11500.1
01-12-2005,180.91,2005,12,54723.66667,4.9,4.16,173.5,192145059,4.9,2.3,1941,11535.2
01-01-2006,182.321,2006,1,54927,4.7,4.29,177.2,192350560.4,5.3,0.9,2036,11651.8
01-02-2006,183.287,2006,2,54933,4.8,4.49,177.7,192542668.3,6.1,7.6,2048,11702.8
01-03-2006,184.364,2006,3,54939,4.7,4.59,178.3,192688773.1,5.9,4.8,2245,11747.5
01-04-2006,184.329,2006,4,54945,4.7,4.79,179,192815179.5,6.3,-4.8,2071,11744.4
01-05-2006,184.156,2006,5,54925.33333,4.6,4.94,179.9,192912881.3,6.2,2.1,1897,11736.8
01-06-2006,183.507,2006,6,54905.66667,4.6,4.99,180.7,193147759.2,6.3,5.3,2050,11751.9
01-07-2006,183.068,2006,7,54886,4.7,5.24,182.3,193315722.2,7.3,5.7,1934,11746.9
01-08-2006,182.594,2006,8,54996,4.7,5.25,182.6,193456189.2,6.7,-6.3,1877,11737
01-09-2006,182.798,2006,9,55106,4.5,5.25,183.3,193557903.1,6.7,0.9,2011,11800.1
01-10-2006,183.198,2006,10,55216,4.4,5.25,182.3,193702904.6,7.3,-1.4,1918,11853.7
01-11-2006,183.609,2006,11,55230.66667,4.5,5.25,179.8,193948914.7,6.6,3,1893,11901.9
01-12-2006,184.139,2006,12,55245.33333,4.4,5.24,179.8,194181049.4,6.5,5.2,1888,11958.6
01-01-2007,184.517,2007,1,55260,4.6,5.25,181.1,194950822.5,7.2,4.5,1822,11956.6
01-02-2007,184.598,2007,2,55331.33333,4.5,5.26,181.5,195126880.6,7.9,1.1,1640,11996
